state_of_location,date,power_generated,unplanned_scrams_per_7000_critical_hours,unplanned_power_changes_per_7000_critical_hrs,unplanned_scrams_with_complications,safety_system_functional_failures_pwr,occupational_exposure_control_effectiveness,rets_odcm_radiological_effluent,mitigating_systems_performance_index,emergency_ac_power_system,mitigating_systems_performance_index_high_pressure_injection_system,mitigating_systems_performance_index_heat_removal_system,mitigating_systems_performance_index_residual_heat_removal_system,mitigating_systems_performance_index_cooling_water_systems,reactor_coolant_system_activity,reactor_coolant_system_leakage,drill_exercise_performance,ero_drill_participation,alert_notification_system
Arkansas Nuclear 1,2007-01-01,642145,0,0.8,NA,0,0,0,NA,2.15E-08,6.40E-09,-3.80E-08,-1.15E-07,-1.29E-08,0.1,1.3,97.7%,100.0%,100.0%
Arkansas Nuclear 1,2007-02-01,579996,0,0.8,NA,0,0,0,NA,2.15E-08,6.40E-09,-3.80E-08,-1.15E-07,-1.29E-08,0.1,1.2,97.7%,100.0%,100.0%
Arkansas Nuclear 1,2007-03-01,631611,0,0.8,NA,0,0,0,NA,2.15E-08,6.40E-09,-3.80E-08,-1.15E-07,-1.29E-08,0.1,1.5,97.7%,100.0%,100.0%
Arkansas Nuclear 1,2007-04-01,425625,0,1.7,NA,0,0,0,NA,2.34E-08,4.90E-09,1.35E-07,-1.26E-07,1.80E-09,0.2,1.4,98.7%,99.1%,99.8%
Arkansas Nuclear 1,2007-05-01,233279,0,1.7,NA,0,0,0,NA,2.34E-08,4.90E-09,1.35E-07,-1.26E-07,1.80E-09,0,2.5,98.7%,99.1%,99.8%
Arkansas Nuclear 1,2007-06-01,610804,0,1.7,NA,0,0,0,NA,2.34E-08,4.90E-09,1.35E-07,-1.26E-07,1.80E-09,0,2.2,98.7%,99.1%,99.8%
Arkansas Nuclear 1,2007-07-01,629284,0,1.7,0.0,0,0,0,NA,-1.99E-08,3.90E-09,1.31E-07,-1.26E-07,1.60E-09,0,1.2,98.6%,100.0%,99.8%
Arkansas Nuclear 1,2007-08-01,623738,0,1.7,0.0,0,0,0,NA,-1.99E-08,3.90E-09,1.31E-07,-1.26E-07,1.60E-09,0,1.1,98.6%,100.0%,99.8%
Arkansas Nuclear 1,2007-09-01,610379,0,1.7,0.0,0,0,0,NA,-1.99E-08,3.90E-09,1.31E-07,-1.26E-07,1.60E-09,0,1.0,98.6%,100.0%,99.8%
Arkansas Nuclear 1,2007-10-01,634652,0,0.8,0.0,0,0,0,NA,-9.30E-09,7.20E-08,9.10E-08,-1.15E-07,1.60E-09,0,1.0,98.6%,98.1%,99.8%
Arkansas Nuclear 1,2007-11-01,620327,0,0.8,0.0,0,0,0,NA,-9.30E-09,7.20E-08,9.10E-08,-1.15E-07,1.60E-09,0,1.3,98.6%,98.1%,99.8%
Arkansas Nuclear 1,2007-12-01,640967,0,0.8,0.0,0,0,0,NA,-9.30E-09,7.20E-08,9.10E-08,-1.15E-07,1.60E-09,0,1.7,98.6%,98.1%,99.8%
Arkansas Nuclear 1,2008-01-01,640210,0,0.8,0.0,0,0,0,NA,-1.27E-08,5.20E-08,1.55E-07,-1.15E-07,1.50E-09,0,1.4,96.7%,98.1%,99.5%
Arkansas Nuclear 1,2008-02-01,332640,0,0.8,0.0,0,0,0,NA,-1.27E-08,5.20E-08,1.55E-07,-1.15E-07,1.50E-09,0.1,2.1,96.7%,98.1%,99.5%
Arkansas Nuclear 1,2008-03-01,639812,0,0.8,0.0,0,0,0,NA,-1.27E-08,5.20E-08,1.55E-07,-1.15E-07,1.50E-09,0,1.1,96.7%,98.1%,99.5%
Arkansas Nuclear 1,2008-04-01,611739,0,0.8,0.0,0,0,0,NA,-1.14E-08,5.30E-08,1.33E-07,-1.15E-07,1.20E-09,0.1,1.3,95.5%,97.1%,99.7%
Arkansas Nuclear 1,2008-05-01,611473,0,0.8,0.0,0,0,0,NA,-1.14E-08,5.30E-08,1.33E-07,-1.15E-07,1.20E-09,0,1.4,95.5%,97.1%,99.7%
Arkansas Nuclear 1,2008-06-01,610763,0,0.8,0.0,0,0,0,NA,-1.14E-08,5.30E-08,1.33E-07,-1.15E-07,1.20E-09,0,1.2,95.5%,97.1%,99.7%
Arkansas Nuclear 1,2008-07-01,626182,0,0.8,0.0,0,0,0,NA,-1.13E-08,5.30E-08,1.35E-07,-1.25E-07,1.40E-09,0,1.3,96.0%,100.0%,99.7%
Arkansas Nuclear 1,2008-08-01,625966,0,0.8,0.0,0,0,0,NA,-1.13E-08,5.30E-08,1.35E-07,-1.25E-07,1.40E-09,0,1.4,96.0%,100.0%,99.7%
Arkansas Nuclear 1,2008-09-01,612739,0,0.8,0.0,0,0,0,NA,-1.13E-08,5.30E-08,1.35E-07,-1.25E-07,1.40E-09,0,1.4,96.0%,100.0%,99.7%
Arkansas Nuclear 1,2008-10-01,514485,1.8,0.9,0.0,0,0,0,NA,-1.12E-08,1.70E-08,1.49E-07,-1.12E-07,1.50E-09,0.5,1.5,95.6%,98.0%,99.7%
Arkansas Nuclear 1,2008-11-01,-3267,1.8,0.9,0.0,0,0,0,NA,-1.12E-08,1.70E-08,1.49E-07,-1.12E-07,1.50E-09,0,NA,95.6%,98.0%,99.7%
Arkansas Nuclear 1,2008-12-01,290481,1.8,0.9,0.0,0,0,0,NA,-1.12E-08,1.70E-08,1.49E-07,-1.12E-07,1.50E-09,0,2.1,95.6%,98.0%,99.7%
Arkansas Nuclear 1,2009-01-01,640046,3.7,0.9,0.0,0,0,0,NA,-1.15E-08,1.00E-08,1.49E-07,-1.19E-07,1.30E-09,0,2.1,95.9%,97.2%,100.0%
Arkansas Nuclear 1,2009-02-01,423433,3.7,0.9,0.0,0,0,0,NA,-1.15E-08,1.00E-08,1.49E-07,-1.19E-07,1.30E-09,0,1.4,95.9%,97.2%,100.0%
Arkansas Nuclear 1,2009-03-01,627953,3.7,0.9,0.0,0,0,0,NA,-1.15E-08,1.00E-08,1.49E-07,-1.19E-07,1.30E-09,0,1.0,95.9%,97.2%,100.0%
Arkansas Nuclear 1,2009-04-01,602624,3.7,0.9,0.0,0,0,0,NA,-7.77E-09,1.30E-08,1.52E-07,-9.23E-08,1.70E-09,0,2.2,95.1%,99.1%,99.8%
Arkansas Nuclear 1,2009-05-01,637687,3.7,0.9,0.0,0,0,0,NA,-7.77E-09,1.30E-08,1.52E-07,-9.23E-08,1.70E-09,0,2.1,95.1%,99.1%,99.8%
Arkansas Nuclear 1,2009-06-01,607732,3.7,0.9,0.0,0,0,0,NA,-7.77E-09,1.30E-08,1.52E-07,-9.23E-08,1.70E-09,0,2.6,95.1%,99.1%,99.8%
Arkansas Nuclear 1,2009-07-01,626572,3.7,0.9,0.0,0,1.0,0,NA,-8.36E-09,1.30E-08,1.55E-07,-9.74E-08,1.80E-09,0,2.4,95.5%,100.0%,99.5%
Arkansas Nuclear 1,2009-08-01,627476,3.7,0.9,0.0,0,1.0,0,NA,-8.36E-09,1.30E-08,1.55E-07,-9.74E-08,1.80E-09,0,1.0,95.5%,100.0%,99.5%
Arkansas Nuclear 1,2009-09-01,611643,3.7,0.9,0.0,0,1.0,0,NA,-8.36E-09,1.30E-08,1.55E-07,-9.74E-08,1.80E-09,0,0.8,95.5%,100.0%,99.5%
Arkansas Nuclear 1,2009-10-01,637117,1.6,0.8,0.0,1,1.0,0,NA,-8.10E-09,1.30E-08,1.53E-07,-1.03E-07,1.80E-09,0,2.7,94.9%,100.0%,99.5%
Arkansas Nuclear 1,2009-11-01,619993,1.6,0.8,0.0,1,1.0,0,NA,-8.10E-09,1.30E-08,1.53E-07,-1.03E-07,1.80E-09,0,0.9,94.9%,100.0%,99.5%
Arkansas Nuclear 1,2009-12-01,639821,1.6,0.8,0.0,1,1.0,0,NA,-8.10E-09,1.30E-08,1.53E-07,-1.03E-07,1.80E-09,0,2.2,94.9%,100.0%,99.5%
Arkansas Nuclear 2,2007-01-01,595300,0,1.8,NA,0,0,0,NA,-2.35E-07,-6.30E-08,6.80E-08,2.36E-09,-4.20E-08,1.6,1.5,97.7%,100.0%,100.0%
Arkansas Nuclear 2,2007-02-01,644844,0,1.8,NA,0,0,0,NA,-2.35E-07,-6.30E-08,6.80E-08,2.36E-09,-4.20E-08,1.6,1.5,97.7%,100.0%,100.0%
Arkansas Nuclear 2,2007-03-01,749928,0,1.8,NA,0,0,0,NA,-2.35E-07,-6.30E-08,6.80E-08,2.36E-09,-4.20E-08,1.6,1.5,97.7%,100.0%,100.0%
Arkansas Nuclear 2,2007-04-01,716988,0,1.8,0.0,0,0,0,NA,-2.61E-07,-6.00E-08,6.80E-08,1.05E-09,-4.20E-08,0.2,1.7,98.7%,99.1%,99.8%
Arkansas Nuclear 2,2007-05-01,746214,0,1.8,0.0,0,0,0,NA,-2.61E-07,-6.00E-08,6.80E-08,1.05E-09,-4.20E-08,0.2,1.7,98.7%,99.1%,99.8%
Arkansas Nuclear 2,2007-06-01,720064,0,1.8,0.0,0,0,0,NA,-2.61E-07,-6.00E-08,6.80E-08,1.05E-09,-4.20E-08,0.2,1.7,98.7%,99.1%,99.8%
Arkansas Nuclear 2,2007-07-01,742975,0,1.8,0.0,0,0,0,NA,-2.52E-07,-6.10E-08,6.80E-08,1.05E-09,-4.10E-08,0.1,1.1,98.6%,100.0%,99.8%
Arkansas Nuclear 2,2007-08-01,739436,0,1.8,0.0,0,0,0,NA,-2.52E-07,-6.10E-08,6.80E-08,1.05E-09,-4.10E-08,0.1,1.1,98.6%,100.0%,99.8%
Arkansas Nuclear 2,2007-09-01,717678,0,1.8,0.0,0,0,0,NA,-2.52E-07,-6.10E-08,6.80E-08,1.05E-09,-4.10E-08,0.1,1.1,98.6%,100.0%,99.8%
Arkansas Nuclear 2,2007-10-01,748446,0,0.8,0.0,0,0,0,NA,-2.51E-07,-6.00E-08,5.71E-08,1.80E-09,6.90E-10,0.3,1.9,98.6%,98.1%,99.8%
Arkansas Nuclear 2,2007-11-01,728510,0,0.8,0.0,0,0,0,NA,-2.51E-07,-6.00E-08,5.71E-08,1.80E-09,6.90E-10,0.3,1.9,98.6%,98.1%,99.8%
Arkansas Nuclear 2,2007-12-01,752912,0,0.8,0.0,0,0,0,NA,-2.51E-07,-6.00E-08,5.71E-08,1.80E-09,6.90E-10,0.3,1.9,98.6%,98.1%,99.8%
Arkansas Nuclear 2,2008-01-01,752554,0,0,0.0,0,0,0,NA,-2.52E-07,-7.50E-08,5.70E-08,1.65E-09,9.30E-10,0.5,1.7,96.7%,98.1%,99.5%
Arkansas Nuclear 2,2008-02-01,617922,0,0,0.0,0,0,0,NA,-2.52E-07,-7.50E-08,5.70E-08,1.65E-09,9.30E-10,0.5,1.7,96.7%,98.1%,99.5%
Arkansas Nuclear 2,2008-03-01,368942,0,0,0.0,0,0,0,NA,-2.52E-07,-7.50E-08,5.70E-08,1.65E-09,9.30E-10,0.5,1.7,96.7%,98.1%,99.5%
Arkansas Nuclear 2,2008-04-01,441150,0,0,0.0,0,0,0,NA,-1.88E-07,-7.40E-08,-9.00E-10,1.40E-09,2.02E-09,0.2,0.8,95.5%,97.1%,99.7%
Arkansas Nuclear 2,2008-05-01,747647,0,0,0.0,0,0,0,NA,-1.88E-07,-7.40E-08,-9.00E-10,1.40E-09,2.02E-09,0.2,0.8,95.5%,97.1%,99.7%
Arkansas Nuclear 2,2008-06-01,719892,0,0,0.0,0,0,0,NA,-1.88E-07,-7.40E-08,-9.00E-10,1.40E-09,2.02E-09,0.2,0.8,95.5%,97.1%,99.7%
Arkansas Nuclear 2,2008-07-01,708464,0,0.9,0.0,0,0,0,NA,-1.33E-07,7.20E-08,1.80E-09,8.00E-11,4.52E-09,0.1,1.2,96.0%,100.0%,99.7%
Arkansas Nuclear 2,2008-08-01,743225,0,0.9,0.0,0,0,0,NA,-1.33E-07,7.20E-08,1.80E-09,8.00E-11,4.52E-09,0.1,1.2,96.0%,100.0%,99.7%
Arkansas Nuclear 2,2008-09-01,722492,0,0.9,0.0,0,0,0,NA,-1.33E-07,7.20E-08,1.80E-09,8.00E-11,4.52E-09,0.1,1.2,96.0%,100.0%,99.7%
Arkansas Nuclear 2,2008-10-01,750125,0,0.9,0.0,0,0,0,NA,-1.22E-07,7.40E-08,5.40E-09,8.00E-11,-7.39E-08,0.3,1.0,95.6%,98.0%,99.7%
Arkansas Nuclear 2,2008-11-01,729206,0,0.9,0.0,0,0,0,NA,-1.22E-07,7.40E-08,5.40E-09,8.00E-11,-7.39E-08,0.3,1.0,95.6%,98.0%,99.7%
Arkansas Nuclear 2,2008-12-01,753249,0,0.9,0.0,0,0,0,NA,-1.22E-07,7.40E-08,5.40E-09,8.00E-11,-7.39E-08,0.4,1.0,95.6%,98.0%,99.7%
Arkansas Nuclear 2,2009-01-01,659922,0.8,1.7,0.0,0,0,0,NA,-3.50E-08,1.15E-08,6.84E-09,2.80E-12,-8.09E-08,1.8,0.7,95.9%,97.2%,100.0%
Arkansas Nuclear 2,2009-02-01,637933,0.8,1.7,0.0,0,0,0,NA,-3.50E-08,1.15E-08,6.84E-09,2.80E-12,-8.09E-08,1.0,0.7,95.9%,97.2%,100.0%
Arkansas Nuclear 2,2009-03-01,635241,0.8,1.7,0.0,0,0,0,NA,-3.50E-08,1.15E-08,6.84E-09,2.80E-12,-8.09E-08,2.3,0.9,95.9%,97.2%,100.0%
Arkansas Nuclear 2,2009-04-01,725073,0.8,1.6,0.0,0,0,0,NA,-5.43E-08,1.15E-08,7.22E-09,5.80E-12,-7.79E-08,1.0,0.7,95.1%,99.1%,99.8%
Arkansas Nuclear 2,2009-05-01,746971,0.8,1.6,0.0,0,0,0,NA,-5.43E-08,1.15E-08,7.22E-09,5.80E-12,-7.79E-08,1.2,0.8,95.1%,99.1%,99.8%
Arkansas Nuclear 2,2009-06-01,716538,0.8,1.6,0.0,0,0,0,NA,-5.43E-08,1.15E-08,7.22E-09,5.80E-12,-7.79E-08,1.5,0.8,95.1%,99.1%,99.8%
Arkansas Nuclear 2,2009-07-01,741173,0.9,0.9,0.0,0,1,0,NA,-5.77E-08,1.25E-08,-1.45E-08,6.00E-12,-6.99E-08,1.5,0.8,95.5%,100.0%,99.5%
Arkansas Nuclear 2,2009-08-01,739567,0.9,0.9,0.0,0,1,0,NA,-5.77E-08,1.25E-08,-1.45E-08,6.00E-12,-6.99E-08,1.8,0.8,95.5%,100.0%,99.5%
Arkansas Nuclear 2,2009-09-01,110710,0.9,0.9,0.0,0,1,0,NA,-5.77E-08,1.25E-08,-1.45E-08,6.00E-12,-6.99E-08,NA,1.1,95.5%,100.0%,99.5%
Arkansas Nuclear 2,2009-10-01,749238,1.7,0.9,0.0,0,1,0,NA,-5.59E-08,1.24E-08,-1.53E-08,7.00E-12,-6.49E-08,0.4,1.0,94.9%,100.0%,99.5%
Arkansas Nuclear 2,2009-11-01,728061,1.7,0.9,0.0,0,1,0,NA,-5.59E-08,1.24E-08,-1.53E-08,7.00E-12,-6.49E-08,0.4,0.9,94.9%,100.0%,99.5%
Arkansas Nuclear 2,2009-12-01,677442,1.7,0.9,0.0,0,1,0,NA,-5.59E-08,1.24E-08,-1.53E-08,7.00E-12,-6.49E-08,0.4,0.9,94.9%,100.0%,99.5%
Beaver Valley 1,2007-01-01,645562,0.9,0.9,NA,0,0,0,NA,-1.60E-07,-3.36E-09,1.00E-09,3.90E-09,-2.85E-08,0.1,0.4,96.8%,100.0%,99.0%
Beaver Valley 1,2007-02-01,574535,0.9,0.9,NA,0,0,0,NA,-1.60E-07,-3.36E-09,1.00E-09,3.90E-09,-2.85E-08,0.1,0.4,96.8%,100.0%,99.0%
Beaver Valley 1,2007-03-01,633131,0.9,0.9,NA,0,0,0,NA,-1.60E-07,-3.36E-09,1.00E-09,3.90E-09,-2.85E-08,0.1,1.2,96.8%,100.0%,99.0%
Beaver Valley 1,2007-04-01,658628,0.8,0,NA,0,0,0,NA,-1.60E-07,-3.32E-09,1.00E-09,4.80E-09,-2.55E-08,0.1,0.3,96.6%,100.0%,99.2%
Beaver Valley 1,2007-05-01,669428,0.8,0,NA,0,0,0,NA,-1.60E-07,-3.32E-09,1.00E-09,4.80E-09,-2.55E-08,0.1,0.2,96.6%,100.0%,99.2%
Beaver Valley 1,2007-06-01,612708,0.8,0,NA,0,0,0,NA,-1.60E-07,-3.32E-09,1.00E-09,4.80E-09,-2.55E-08,0.1,0.1,96.6%,100.0%,99.2%
Beaver Valley 1,2007-07-01,669518,0,0,0.0,1,0,0,NA,-1.62E-07,-3.13E-09,1.20E-09,5.20E-09,-2.55E-08,0.1,0.1,95.1%,100.0%,99.3%
Beaver Valley 1,2007-08-01,664333,0,0,0.0,1,0,0,NA,-1.62E-07,-3.13E-09,1.20E-09,5.20E-09,-2.55E-08,0.1,0.4,95.1%,100.0%,99.3%
Beaver Valley 1,2007-09-01,466173,0,0,0.0,1,0,0,NA,-1.62E-07,-3.13E-09,1.20E-09,5.20E-09,-2.55E-08,0.1,0.1,95.1%,100.0%,99.3%
Beaver Valley 1,2007-10-01,122788,0,0,0.0,1,0,0,NA,-1.60E-07,-3.19E-09,1.10E-09,3.70E-09,-2.15E-08,0,0.3,94.9%,100.0%,99.3%
Beaver Valley 1,2007-11-01,657835,0,0,0.0,1,0,0,NA,-1.60E-07,-3.19E-09,1.10E-09,3.70E-09,-2.15E-08,0,0.2,94.9%,100.0%,99.3%
Beaver Valley 1,2007-12-01,683023,0,0,0.0,1,0,0,NA,-1.60E-07,-3.19E-09,1.10E-09,3.70E-09,-2.15E-08,0,0.2,94.9%,100.0%,99.3%
Beaver Valley 1,2008-01-01,682171,0,0,0.0,1,0,0,NA,-1.70E-07,-3.26E-09,1.10E-09,2.50E-09,-3.34E-08,0.1,0.2,94.5%,100.0%,99.5%
Beaver Valley 1,2008-02-01,606063,0,0,0.0,1,0,0,NA,-1.70E-07,-3.26E-09,1.10E-09,2.50E-09,-3.34E-08,0,0.1,94.5%,100.0%,99.5%
Beaver Valley 1,2008-03-01,667047,0,0,0.0,1,0,0,NA,-1.70E-07,-3.26E-09,1.10E-09,2.50E-09,-3.34E-08,0.1,0.3,94.5%,100.0%,99.5%
Beaver Valley 1,2008-04-01,655921,0,0,0.0,1,0,0,NA,-1.75E-07,-3.10E-09,1.80E-09,2.70E-09,-3.34E-08,0.1,1.7,92.5%,100.0%,99.5%
Beaver Valley 1,2008-05-01,677204,0,0,0.0,1,0,0,NA,-1.75E-07,-3.10E-09,1.80E-09,2.70E-09,-3.34E-08,0.1,0.4,92.5%,100.0%,99.5%
Beaver Valley 1,2008-06-01,647844,0,0,0.0,1,0,0,NA,-1.75E-07,-3.10E-09,1.80E-09,2.70E-09,-3.34E-08,0.1,1.2,92.5%,100.0%,99.5%
Beaver Valley 1,2008-07-01,666932,0,0,0.0,0,0,0,NA,-1.71E-07,-3.17E-09,1.70E-09,2.10E-09,-3.34E-08,0.1,1.0,92.7%,100.0%,99.8%
Beaver Valley 1,2008-08-01,671201,0,0,0.0,0,0,0,NA,-1.71E-07,-3.17E-09,1.70E-09,2.10E-09,-3.34E-08,0.1,0.3,92.7%,100.0%,99.8%
Beaver Valley 1,2008-09-01,650941,0,0,0.0,0,0,0,NA,-1.71E-07,-3.17E-09,1.70E-09,2.10E-09,-3.34E-08,0.1,0.2,92.7%,100.0%,99.8%
Beaver Valley 1,2008-10-01,679029,0,0,0.0,0,0,0,NA,-1.71E-07,-3.30E-09,2.20E-09,1.60E-09,-3.34E-08,0.1,0.2,93.7%,100.0%,99.7%
Beaver Valley 1,2008-11-01,658685,0,0,0.0,0,0,0,NA,-1.71E-07,-3.30E-09,2.20E-09,1.60E-09,-3.34E-08,0.1,0.3,93.7%,100.0%,99.7%
Beaver Valley 1,2008-12-01,681900,0,0,0.0,0,0,0,NA,-1.71E-07,-3.30E-09,2.20E-09,1.60E-09,-3.34E-08,0.1,0.1,93.7%,100.0%,99.7%
Beaver Valley 1,2009-01-01,682850,0,0,0.0,0,0,0,NA,-1.71E-07,-3.60E-09,1.70E-09,7.80E-09,-3.04E-08,0.1,0.2,94.8%,100.0%,99.5%
Beaver Valley 1,2009-02-01,615784,0,0,0.0,0,0,0,NA,-1.71E-07,-3.60E-09,1.70E-09,7.80E-09,-3.04E-08,0,0.2,94.8%,100.0%,99.5%
Beaver Valley 1,2009-03-01,679973,0,0,0.0,0,0,0,NA,-1.71E-07,-3.60E-09,1.70E-09,7.80E-09,-3.04E-08,0.1,0.2,94.8%,100.0%,99.5%
Beaver Valley 1,2009-04-01,387088,0,0,0.0,0,0,0,NA,-1.70E-07,-3.90E-09,1.90E-09,7.10E-09,-3.04E-08,0.1,0.1,94.8%,100.0%,99.5%
Beaver Valley 1,2009-05-01,193442,0,0,0.0,0,0,0,NA,-1.70E-07,-3.90E-09,1.90E-09,7.10E-09,-3.04E-08,0,11.8,94.8%,100.0%,99.5%
Beaver Valley 1,2009-06-01,651093,0,0,0.0,0,0,0,NA,-1.70E-07,-3.90E-09,1.90E-09,7.10E-09,-3.04E-08,0,0.1,94.8%,100.0%,99.5%
Beaver Valley 1,2009-07-01,671288,0,0,0.0,0,0,0,NA,-1.60E-07,-3.90E-09,-5.90E-09,8.80E-09,-3.04E-08,0,0.1,95.4%,100.0%,99.5%
Beaver Valley 1,2009-08-01,662933,0,0,0.0,0,0,0,NA,-1.60E-07,-3.90E-09,-5.90E-09,8.80E-09,-3.04E-08,0,0.2,95.4%,100.0%,99.5%
Beaver Valley 1,2009-09-01,652547,0,0,0.0,0,0,0,NA,-1.60E-07,-3.90E-09,-5.90E-09,8.80E-09,-3.04E-08,0,0.4,95.4%,100.0%,99.5%
Beaver Valley 1,2009-10-01,679681,0,0,0.0,0,0,0,NA,-1.58E-07,-3.90E-09,-3.70E-09,3.00E-10,-3.24E-08,0,0.2,94.9%,100.0%,99.3%
Beaver Valley 1,2009-11-01,658560,0,0,0.0,0,0,0,NA,-1.58E-07,-3.90E-09,-3.70E-09,3.00E-10,-3.24E-08,0,0.3,94.9%,100.0%,99.3%
Beaver Valley 1,2009-12-01,682245,0,0,0.0,0,0,0,NA,-1.58E-07,-3.90E-09,-3.70E-09,3.00E-10,-3.24E-08,0,0.2,94.9%,100.0%,99.3%
Beaver Valley 2,2007-01-01,640291,0.9,1.8,0.0,2,0,0,NA,-5.20E-07,-6.14E-08,3.02E-07,5.80E-08,3.90E-08,0,0.8,96.8%,100.0%,99.0%
Beaver Valley 2,2007-02-01,579519,0.9,1.8,0.0,2,0,0,NA,-5.20E-07,-6.14E-08,3.02E-07,5.80E-08,3.90E-08,0,1.2,96.8%,100.0%,99.0%
Beaver Valley 2,2007-03-01,628309,0.9,1.8,0.0,2,0,0,NA,-5.20E-07,-6.14E-08,3.02E-07,5.80E-08,3.90E-08,0,0.8,96.8%,100.0%,99.0%
Beaver Valley 2,2007-04-01,620948,0,0.9,0.0,1,0,0,NA,-6.13E-07,-6.74E-08,3.00E-07,6.10E-08,3.90E-08,0,0.7,96.6%,100.0%,99.2%
Beaver Valley 2,2007-05-01,639344,0,0.9,0.0,1,0,0,NA,-6.13E-07,-6.74E-08,3.00E-07,6.10E-08,3.90E-08,0,0.8,96.6%,100.0%,99.2%
Beaver Valley 2,2007-06-01,612088,0,0.9,0.0,1,0,0,NA,-6.13E-07,-6.74E-08,3.00E-07,6.10E-08,3.90E-08,0,0.8,96.6%,100.0%,99.2%
Beaver Valley 2,2007-07-01,631184,0,0.9,0.0,1,0,0,NA,-4.42E-07,-2.62E-08,2.28E-07,4.43E-08,6.10E-08,0,0.8,95.1%,100.0%,99.3%
Beaver Valley 2,2007-08-01,617218,0,0.9,0.0,1,0,0,NA,-4.42E-07,-2.62E-08,2.28E-07,4.43E-08,6.10E-08,0,0.8,95.1%,100.0%,99.3%
Beaver Valley 2,2007-09-01,608830,0,0.9,0.0,1,0,0,NA,-4.42E-07,-2.62E-08,2.28E-07,4.43E-08,6.10E-08,0,0.7,95.1%,100.0%,99.3%
Beaver Valley 2,2007-10-01,634354,0,0,0.0,0,0,0,NA,4.00E-08,-2.70E-08,2.55E-07,4.43E-08,6.10E-08,0,0.9,94.9%,100.0%,99.3%
Beaver Valley 2,2007-11-01,623607,0,0,0.0,0,0,0,NA,4.00E-08,-2.70E-08,2.55E-07,4.43E-08,6.10E-08,0,0.8,94.9%,100.0%,99.3%
Beaver Valley 2,2007-12-01,647510,0,0,0.0,0,0,0,NA,4.00E-08,-2.70E-08,2.55E-07,4.43E-08,6.10E-08,0,0.9,94.9%,100.0%,99.3%
Beaver Valley 2,2008-01-01,646210,0,0,0.0,0,0,0,NA,1.00E-08,-2.76E-08,2.59E-07,2.73E-08,7.70E-08,0,0.8,94.5%,100.0%,99.5%
Beaver Valley 2,2008-02-01,605312,0,0,0.0,0,0,0,NA,1.00E-08,-2.76E-08,2.59E-07,2.73E-08,7.70E-08,0,1.2,94.5%,100.0%,99.5%
Beaver Valley 2,2008-03-01,646754,0,0,0.0,0,0,0,NA,1.00E-08,-2.76E-08,2.59E-07,2.73E-08,7.70E-08,0,0.8,94.5%,100.0%,99.5%
Beaver Valley 2,2008-04-01,255348,0,0,0.0,0,0,0,NA,-1.59E-07,-2.72E-08,2.59E-07,-9.10E-09,1.09E-07,0.1,0.8,92.5%,100.0%,99.5%
Beaver Valley 2,2008-05-01,115297,0,0,0.0,0,0,0,NA,-1.59E-07,-2.72E-08,2.59E-07,-9.10E-09,1.09E-07,0,0.7,92.5%,100.0%,99.5%
Beaver Valley 2,2008-06-01,636425,0,0,0.0,0,0,0,NA,-1.59E-07,-2.72E-08,2.59E-07,-9.10E-09,1.09E-07,0,0.7,92.5%,100.0%,99.5%
Beaver Valley 2,2008-07-01,659645,0,0,0.0,0,0,0,NA,9.56E-08,-2.82E-08,2.99E-07,-1.08E-08,9.60E-08,0,0.7,92.7%,100.0%,99.8%
Beaver Valley 2,2008-08-01,662478,0,0,0.0,0,0,0,NA,9.56E-08,-2.82E-08,2.99E-07,-1.08E-08,9.60E-08,0,0.6,92.7%,100.0%,99.8%
Beaver Valley 2,2008-09-01,605618,0,0,0.0,0,0,0,NA,9.56E-08,-2.82E-08,2.99E-07,-1.08E-08,9.60E-08,0,0.6,92.7%,100.0%,99.8%
Beaver Valley 2,2008-10-01,566832,0,0.9,0.0,0,0,0,NA,6.25E-07,-2.73E-08,3.07E-07,-1.26E-08,9.10E-08,0,0.7,93.7%,100.0%,99.7%
Beaver Valley 2,2008-11-01,652227,0,0.9,0.0,0,0,0,NA,6.25E-07,-2.73E-08,3.07E-07,-1.26E-08,9.10E-08,0,0.7,93.7%,100.0%,99.7%
Beaver Valley 2,2008-12-01,674052,0,0.9,0.0,0,0,0,NA,6.25E-07,-2.73E-08,3.07E-07,-1.26E-08,9.10E-08,0,0.6,93.7%,100.0%,99.7%
Beaver Valley 2,2009-01-01,675036,0,0.9,0.0,0,0,0,NA,6.25E-07,-2.88E-08,2.99E-07,-1.26E-08,9.10E-08,0,0.6,94.8%,100.0%,99.5%
Beaver Valley 2,2009-02-01,600239,0,0.9,0.0,0,0,0,NA,6.25E-07,-2.88E-08,2.99E-07,-1.26E-08,9.10E-08,0,0.5,94.8%,100.0%,99.5%
Beaver Valley 2,2009-03-01,674613,0,0.9,0.0,0,0,0,NA,6.25E-07,-2.88E-08,2.99E-07,-1.26E-08,9.10E-08,0,0.7,94.8%,100.0%,99.5%
Beaver Valley 2,2009-04-01,650789,0,0.8,0.0,0,0,0,NA,6.35E-07,-2.88E-08,-4.39E-08,-1.26E-08,9.00E-08,0,0.7,95.2%,100.0%,99.5%
Beaver Valley 2,2009-05-01,667859,0,0.8,0.0,0,0,0,NA,6.35E-07,-2.88E-08,-4.39E-08,-1.26E-08,9.00E-08,0,0.8,95.2%,100.0%,99.5%
