month_variable,ALABAMA,Browns Ferry 1,Browns Ferry 2,Browns Ferry 3,Joseph M. Farley 1,Joseph M. Farley 2,ARIZONA,Palo Verde 1,Palo Verde 2,Palo Verde 3,ARKANSAS,Arkansas Nuclear One 1,Arkansas Nuclear One 2,CALIFORNIA,San Onofre 2,San Onofre 3,Diablo Canyon 1,Diablo Canyon 2,CONNECTICUT,Millstone 2,Millstone 3,FLORIDA,Turkey Point 3,Turkey Point 4,Crystal River 3,St Lucie 1,St Lucie 2,GEORGIA,Vogtle 1,Vogtle 2,Edwin I. Hatch 1,Edwin I. Hatch 2,ILLINOIS,Clinton,Dresden 2,Dresden 3,Quad Cities 1,Quad Cities 2,Braidwood 1,Braidwood 2,Byron 1,Byron 2,LaSalle County 1,LaSalle County 2,IOWA,Duane Arnold,KANSAS,Wolf Creek 1,LOUISIANA,Waterford 3,River Bend 1,MARYLAND,Calvert Cliffs 1,Calvert Cliffs 2,MASSACHUSETTS,Pilgrim 1,MICHIGAN,Palisades,Fermi 2,D.C. Cook 1,D.C. Cook 2,MINNESOTA,Monticello,Prairie Island 1,Prairie Island 2,MISSISSIPPI,Grand Gulf 1,MISSOURI,Callaway,NEBRASKA,Fort Calhoun,Cooper,NEW HAMPSHIRE,Seabrook 1,NEW JERSEY,Oyster Creek 1,Salem 1,Salem 2,Hope Creek 1,NEW YORK,Indian Point 2,Nine Mile Point 1,Nine Mile Point 2,James Fitzpatrick,Ginna,Indian Point 3,NORTH CAROLINA,Brunswick 1,Brunswick 2,Shearon Harris 1,McGuire 1,McGuire 2,OHIO,Perry 1,Davis-Besse,PENNSYLVANIA,Peach Bottom 2,Peach Bottom 3,Beaver Valley 1,Beaver Valley 2,Susquehanna 1,Susquehanna 2,Limerick 1,Limerick 2,Three Mile Island 1,SOUTH CAROLINA,H.B. Robinson 2,Oconee 1,Oconee 2,Oconee 3,Catawba 1,Catawba 2,Summer,TENNESSEE,Sequoyah 1,Sequoyah 2,Watts Bar 1,TEXAS,Comanche Peak 1,Comanche Peak 2,South Texas Project 1,South Texas Project 2,VERMONT,Vermont Yankee 1,VIRGINIA,Surry 1,Surry 2,North Anna 1,North Anna 2,WASHINGTON,Columbia Generating Sta.,WISCONSIN,Point Beach 1,Point Beach 2,Kewaunee,U.S. TOTAL
net_capacity_2009,  4985.4,  1065.8,  1103.7,  1104.9,   851.0,   860.0,  3942.0,  1311.0,  1314.0,  1317.0,  1835.0,   842.0,   993.0,  4390.0,  1070.0,  1080.0,  1122.0,  1118.0,  2102.5,   869.1,  1233.4,  3924.0,   693.0,   693.0,   860.0,   839.0,   839.0,  4061.0,  1150.0,  1152.0,   876.0,   883.0, 11441.0,  1065.0,   867.0,   867.0,   882.0,   892.0,  1178.0,  1152.0,  1164.0,  1136.0,  1118.0,  1120.0,   601.4,   601.4,  1160.0,  1160.0,  2142.0,  1168.0,   974.0,  1705.0,   855.0,   850.0,   684.7,   684.7,  3953.0,   778.0,  1106.0,  1009.0,  1060.0,  1668.0,   572.0,   551.0,   545.0,  1251.0,  1251.0,  1190.0,  1190.0,  1252.1,   478.0,   774.1,  1247.3,  1247.3,  4107.5,   614.5,  1174.0,  1158.0,  1161.0,  5261.9,  1022.2,   621.2,  1142.7,   854.9,   580.5,  1040.4,  4958.0,   938.0,   920.0,   900.0,  1100.0,  1100.0,  2134.0,  1240.0,   894.0,  9455.0,  1122.0,  1112.0,   892.0,   885.0,  1185.0,  1190.0,  1130.0,  1134.0,   805.0,  6486.0,   724.0,   846.0,   846.0,   846.0,  1129.0,  1129.0,   966.0,  3400.7,  1152.0,  1125.7,  1123.0,  4927.0,  1209.0,  1158.0,  1280.0,  1280.0,   620.3,   620.3,  3404.0,   799.0,   799.0,   903.0,   903.0,  1131.0,  1131.0,  1582.9,   512.2,   514.7,   556.0,101003.7
jan_2009, 3793234,  822682,  839178,  834055,  643275,  654044, 2981356,  998545,  993266,  989545, 1299968,  640046,  659922, 2308560,  -22232,  841913,  655568,  833311, 1568502,  648504,  919998, 2951844,  540620,  542963,  584227,  641679,  642355, 3088365,  884092,  887938,  656285,  660050, 8270800,  799748,  647173,  650010,  644153,  649194,  897694,  876013,  885746,  867877,  860168,  493024,  394244,  394244,  885692,  885692, 1622019,  882541,  739478, 1303777,  656629,  647148,  510067,  510067, 2253718,  602883,  831971,       0,  818864, 1208162,  400966,  403461,  403735,  947301,  947301,  928441,  928441,  965663,  378165,  587498,  924993,  924993, 3102662,  473879,  886849,  886912,  855022, 3920606,  770044,  464916,  851757,  623093,  432130,  778666, 3836509,  719187,  696451,  693809,  862450,  864612, 1629529,  944877,  684652, 6969890,  851210,  624651,  682850,  675036,  904413,  867414,  869939,  861778,  632599, 4991936,  568589,  644728,  654829,  652107,  870821,  871835,  729027, 2618785,  877438,  863074,  878273, 3816155,  915220,  874826, 1012769, 1013340,  449448,  449448, 2570743,  602829,  605116,  681901,  680897,  804901,  804901, 1184619,  381373,  381875,  421371,74102489
feb_2009, 2945711,  423815,  587430,  762132,  581505,  590829, 2694725,  901206,  902662,  890857, 1061366,  423433,  637933, 1751176,  240087,  759344,       0,  751745, 1416776,  585712,  831064, 2658868,  487192,  469846,  539566,  580639,  581625, 2351823,  797840,  801367,  600110,  152506, 7471163,  717787,  584658,  576990,  581900,  582841,  811318,  790534,  785272,  782211,  776657,  480995,    5357,    5357,  797548,  797548, 1458220,  797002,  661218, 1045223,  595852,  449371,  451656,  451656, 1940344,  456765,  738853,       0,  744726, 1116363,  390162,  361572,  364629,  859709,  859709,  535798,  535798,  843357,  338419,  504938,  836579,  836579, 2613040,  191784,  799384,  796505,  825367, 3531183,  695795,  413884,  755621,  571825,  390108,  703950, 3416556,  630842,  604133,  624890,  776066,  780625, 1275576,  657957,  617619, 6443371,  755890,  765426,  615784,  600239,  822545,  780150,  784062,  747877,  571398, 4503064,  513513,  582232,  592179,  589129,  784164,  782884,  658963, 2361234,  792149,  777733,  791352, 3433563,  826205,  790577,  910676,  906105,  419364,  419364, 2321942,  544680,  546055,  616048,  615159,  593407,  593407, 1073149,  345921,  345100,  382128,64227211
mar_2009, 3166506,  409778,  839252,  836318,  634209,  446949, 2889458,  904899,  998040,  986519, 1263194,  627953,  635241, 2610981,  819649,  840502,  122321,  828509, 1560557,  647603,  912954, 2690034,  248366,  535594,  649282,  640560,  616232, 2395109,  879839,  859300,  661698,   -5728, 8522238,  798222,  640187,  642829,  638925,  644086,  830976,  872653,  888217,  861576,  851531,  853036,  360881,  360881,  872111,  872111, 1609970,  877283,  732687,  940839,  657793,  283046,  507752,  507752, 1708195,  408921,  683436,       0,  615838,  973685,  168280,  402938,  402467,  937261,  937261,  826689,  826689,  806814,  371484,  435330,  925103,  925103, 3062117,  469082,  802826,  879132,  911077, 3215105,  768841,  281279,  848209,  636975,  431376,  248425, 3110997,  703593,   -3057,  688165,  859540,  862756,  674111,   -6802,  680913, 6765465,  853156,  806759,  679973,  674613,  904595,  822094,  860034,  536456,  627785, 4261584,  566438,  643180,  653674,  650280,  862972,  154915,  730125, 2279861,  708181,  740037,  831643, 3787666,  912646,  873107, 1002865,  999048,  466954,  466954, 2040547,  602783,  604676,  152142,  680946,  821820,  821820, 1186963,  383076,  382267,  421620,67240567
apr_2009, 2827587,  792288,  644652,  782245,   18073,  590329, 2015965,  962845,  963492,   89628, 1327697,  602624,  725073, 3251377,  803692,  812766,  821060,  813859, 1518510,  627318,  891192, 2205267,   -5106,  512360,  623484,  619746,  454783, 2328274,  848717,  852979,  632721,   -6143, 7493003,  774484,  625403,  561272,  531625,  590110,  274969,  791272,  855433,  830108,  828785,  829542,  399821,  399821,  786064,  786064, 1558454,  848768,  709686, 1260328,  635824,  624504,  263007,  263007,   -6333,       0,   -6333,       0,       0,  760652,   -2230,  380782,  382100,  903564,  903564,  796254,  796254,  923773,  355119,  568654,  896458,  896458, 2341157,  375920,  850961,  850592,  263684, 3152605,  706722,  260886,  822860,  591987,  413772,  356378, 2708468,  691620,    8812,  342241,  832272,  833523,  253772,  -10609,  264381, 5552924,  810347,  816555,  387088,  650789,  859333,  145012,  827350,  454785,  601665, 4096759,  504260,  621702,  632191,  502708,  832925,  296037,  706936, 1662374,       0,  821378,  840996, 3662721,  883289,  845790,  968344,  965298,  452122,  452122, 2208110,  348311,  585025,  616351,  658423,  709683,  709683, 1097990,  371130,  370950,  355910,59408407
may_2009, 2735253,  807259,       0,  830566,  454734,  642694, 2037065,  990045,  991197,   55823, 1384658,  637687,  746971, 3263154,  822560,  826399,  847608,  766587, 1566800,  647847,  918953, 2091979,  334517,  474143,  644394,  641742,   -2817, 2025697,  870553,  873444,  205290,   76410, 7762474,  766014,  641143,  641125,     899,  664155,  886710,  865707,  877275,  859900,  715344,  844202,  452957,  452957,  819918,  819918, 1594494,  869165,  725329, 1291934,  651578,  640356,  185075,  185075, 1982217,  556099,  790316,       0,  635802,  928104,  247583,  300615,  379906,  935134,  935134,  909950,  909950,  957709,  373855,  583854,  926038,  926038, 2820318,  406739,  867338,  866404,  679837, 3716535,  765321,  465194,  844152,  635258,  336937,  669673, 3467846,  703953,  613351,  441456,  852705,  856381, 1072577,  392649,  679928, 6025674,  851322,  818468,  193442,  667859,  870602,  317603,  844311,  848201,  613866, 4424657,  555017,  641011,  649715,  131433,  857316,  862416,  727749, 2308493,  708113,  742931,  857449, 3647514,  854499,  816573,  989681,  986761,  456763,  456763, 2318736,  369909,  601659,  682837,  664331,  167382,  167382, 1118347,  332816,  364101,  421430,65395452
june_2009, 2875447,  762088,  134728,  768105,  603266,  607260, 2867482,  957733,  957986,  951763, 1324270,  607732,  716538, 3239185,  804298,  813689,  818245,  802953, 1512957,  625676,  887281, 2552327,  506549,  504150,  617713,  616548,  307367, 2826771,  835966,  836764,  629706,  524335, 8223770,  768172,  624667,  621551,  617485,  638223,  852446,  829494,  841007,  822150,  794313,  814262,  433616,  433616,  843949,  843949, 1541185,  845074,  696111, 1226644,  619088,  607556,  488015,  488015, 2065818,  572986,  701690,       0,  791142, 1159077,  413210,  371873,  373994,  897343,  897343,  836422,  836422,  916158,  354275,  561883,  896326,  896326, 2980767,  445612,  834949,  837680,  862526, 3446138,  734896,  448657,  806565,  612763,  415529,  427728, 3589042,  679293,  611706,  659020,  816675,  822348, 1329648,  676761,  652887, 6827352,  818545,  800346,  651093,  643556,  852104,  837670,  814769,  816110,  593159, 4752176,  526657,  617255,  627383,  625776,  824524,  830629,  699952, 2430578,  813571,  801392,  815615, 3605784,  875500,  837024,  948011,  945249,  414275,  414275, 2469251,  578804,  579904,  656542,  654001,   19858,   19858, 1143105,  368530,  367971,  406604,69734736
july_2009, 3665767,  786827,  800243,  804661,  633389,  640647, 2938675,  981658,  981216,  975801, 1367745,  626572,  741173, 3249463,  808307,  832748,  844898,  763510, 1086929,  175273,  911656, 2593922,  519616,  516339,  639129,  633692,  285146, 2989350,  864597,  865449,  645274,  614030, 8375522,  793462,  645808,  644003,  656331,  660275,  880664,  827861,  868307,  852578,  705254,  840979,  452271,  452271,  869102,  869102, 1592967,  869340,  723627, 1158547,  535933,  622614,  499073,  499073, 2054452,  586004,  808089,       0,  660359, 1201392,  421814,  389571,  390007,  925096,  925096,  898752,  898752,  938381,  361695,  576686,  926131,  926131, 2964869,  352978,  863068,  862960,  885863, 3865505,  751733,  452757,  833458,  628418,  422912,  776227, 3747414,  697753,  693644,  680311,  834861,  840845, 1583520,  907675,  675845, 7041046,  840468,  819743,  671288,  663867,  878718,  878089,  838238,  839813,  610822, 4891267,  543523,  632539,  641918,  643633,  853457,  856398,  719799, 2499913,  837311,  820792,  841810, 3704741,  899887,  859454,  973325,  972075,  453608,  453608, 2542385,  596176,  597292,  675142,  673775,  695488,  695488, 1175686,  379202,  378343,  418141,72948979
aug_2009, 3552446,  783852,  812904,  682438,  632870,  640382, 2946906,  984002,  983965,  978939, 1367043,  627476,  739567, 3003335,  828409,  838362,  827279,  509285, 1546944,  643450,  903494, 2865397,  520395,  515201,  574115,  634208,  621478, 3027746,  863616,  864160,  649886,  650084, 8266934,  792113,  644778,  641421,  654916,  659578,  880350,  723882,  870587,  852279,  834889,  712141,  451155,  451155,  700728,  700728, 1584193,  868947,  715246, 1245982,  626807,  619175,  499942,  499942, 1969067,  584081,  804660,       0,  580326, 1195380,  420893,  388039,  386448,  925987,  925987,  899588,  899588,  933927,  361642,  572285,  926113,  926113, 3017716,  422406,  857139,  859329,  878842, 3739768,  746968,  445497,  832245,  621154,  417308,  676596, 3687592,  679296,  686770,  678090,  828801,  814635, 1602655,  928035,  674620, 6952008,  836039,  774471,  662933,  659169,  873751,  871679,  831110,  835008,  607848, 4864969,  542487,  626103,  635219,  637838,  849821,  855242,  718259, 2504640,  841201,  825239,  838200, 3707259,  900421,  861165,  973938,  971735,  444490,  444490, 2533312,  593658,  594066,  673279,  672309,  105617,  105617, 1175758,  379491,  379008,  417259,72244597
sep_2009, 3337084,  768752,  770502,  567242,  613575,  617013, 2855935,  953934,  953558,  948443,  722353,  611643,  110710, 2751102,  582845,  802565,  672086,  693606, 1502156,  623572,  878584, 2315923,  506735,  502404,  515827,  596587,  194370, 2593761,  511485,  813860,  630803,  637613, 7626214,  713349,  622828,  619651,  554798,  638033,  851053,  833072,  355761,  826053,  803418,  808198,  430826,  430826,  848675,  848675, 1266114,  843897,  422217, 1225916,  615991,  609925,  487629,  487629, 2093900,  569329,  753809,       0,  770762,  916714,  410568,  127730,  378416,  891679,  891679,  878322,  878322,  790252,  354519,  435733,  892480,  892480, 2974470,  447749,  836123,  837062,  853536, 3507947,  727741,  439596,  810057,  604523,  174390,  751640, 2454766,  445366,  449456,  657569,  806015,   96360, 1558411,  904217,  654194, 6287882,  804673,  290581,  652547,  644847,  850256,  844134,  797038,  810298,  593508, 4679982,  530671,  559974,  612950,  617836,  826771,  831874,  699906, 2160357,  819896,  805581,  534880, 3204370,  875294,  837172,  923315,  568589,  439241,  439241, 2467519,  577778,  579603,  656170,  653968,  547254,  547254, 1042560,  357522,  356748,  328290,65751794
